City_ID,City,Country,Date,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed
232,Nouadhibou,MR,2021-06-04 23:50:48,20.931,-17.0347,69.78,68,0,23.02
233,Itarema,BR,2021-06-04 23:53:18,-2.9248,-39.9167,79.02,78,4,13.71
234,Sindhnur,IN,2021-06-04 23:53:18,15.7833,76.7667,74.08,82,100,6.2
235,Jutai,BR,2021-06-04 23:53:18,-5.1833,-68.9,74.5,92,63,0.58
236,Waipawa,NZ,2021-06-04 23:53:19,-41.4122,175.5153,54.45,61,25,9.33
237,Klaksvik,FO,2021-06-04 23:50:54,62.2266,-6.589,49.12,97,65,15.77
238,Usinsk,RU,2021-06-04 23:53:19,65.9939,57.5281,55.49,51,76,13.02
239,San Ramon,US,2021-06-04 23:49:40,37.7799,-121.978,92.59,50,1,10.0
240,Sao Joao Da Barra,BR,2021-06-04 23:53:19,-21.6403,-41.0511,72.91,87,0,7.54
241,Marsh Harbour,BS,2021-06-04 23:53:20,26.5412,-77.0636,79.14,81,84,11.59
242,Alofi,NU,2021-06-04 23:53:20,-19.0595,-169.9187,78.69,83,65,14.97
243,Mahajanga,MG,2021-06-04 23:53:20,-15.7167,46.3167,75.22,83,20,3.44
244,Manado,ID,2021-06-04 23:49:59,1.487,124.8455,83.17,78,20,2.01
245,Yerbogachen,RU,2021-06-04 23:53:21,61.2767,108.0108,47.66,81,100,5.3
246,Lebu,CL,2021-06-04 23:53:21,-37.6167,-73.65,50.58,84,66,5.21
247,Takoradi,GH,2021-06-04 23:49:51,4.8845,-1.7554,79.25,85,63,8.41
248,Patos,BR,2021-06-04 23:53:22,-7.0244,-37.28,75.31,64,50,12.48
249,Cayenne,GF,2021-06-04 23:53:22,4.9333,-52.3333,81.09,85,0,3.0
250,Bac Lieu,VN,2021-06-04 23:53:22,9.285,105.7244,83.8,78,96,10.0
251,Mbini,GQ,2021-06-04 23:53:22,1.574,9.6134,78.64,88,63,7.27
252,Anadyr,RU,2021-06-04 23:53:23,64.75,177.4833,50.5,57,0,3.53
