City_ID,City,Country,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Current Description
117,Hermanus,ZA,-34.4187,19.2345,58.89,52,0,7.16,clear sky
118,Huilong,CN,31.8111,121.655,73.04,82,1,8.84,light rain
119,Bredasdorp,ZA,-34.5322,20.0403,51.28,93,0,3.74,clear sky
120,Mana,GF,5.6592,-53.7767,79.7,83,9,11.23,clear sky
121,Labuhan,ID,-6.8844,112.2051,76.82,87,16,7.18,few clouds
122,Vaini,TO,-21.2,-175.2,73.56,73,40,1.14,scattered clouds
123,Hovd,MN,48.0056,91.6419,45.88,33,1,8.95,clear sky
124,Pevek,RU,69.7008,170.3133,43.11,84,96,9.33,overcast clouds
125,Xushan,CN,30.1764,121.2457,64.33,81,20,3.78,light rain
126,Kavieng,PG,-2.5744,150.7967,81.86,76,98,5.97,light rain
127,Thompson,CA,55.7435,-97.8558,62.76,67,90,2.3,overcast clouds
128,Birjand,IR,32.8663,59.2211,77.47,13,0,6.91,clear sky
129,Yatou,CN,37.15,122.3833,62.83,75,1,5.64,light rain
130,Omsukchan,RU,62.5333,155.8,37.31,93,100,9.78,overcast clouds
131,Konevo,RU,62.1215,39.3192,59.0,61,7,3.58,clear sky
132,Leningradskiy,RU,69.3833,178.4167,35.71,95,99,12.08,overcast clouds
133,Jining,CN,35.405,116.5814,70.38,44,0,8.16,clear sky
134,Agadez,NE,19.75,10.25,93.65,15,100,6.98,overcast clouds
135,San Patricio,US,28.017,-97.5169,90.01,61,64,10.54,broken clouds
136,Sinnamary,GF,5.3833,-52.95,79.56,82,33,10.29,scattered clouds
137,Natal,BR,-5.795,-35.2094,82.62,69,20,11.21,few clouds
138,Bengkulu,ID,-3.8004,102.2655,75.16,92,20,3.94,few clouds
139,Arlit,NE,18.7369,7.3853,94.84,13,83,3.49,broken clouds
140,Tuatapere,NZ,-46.1333,167.6833,41.47,88,15,3.76,few clouds
141,Taitung,TW,22.7583,121.1444,76.59,94,100,4.36,moderate rain
142,Chifeng,CN,42.2683,118.9636,57.88,55,15,1.52,few clouds
143,Lavrentiya,RU,65.5833,-171.0,35.26,75,94,13.44,overcast clouds
144,Nizhniy Tsasuchey,RU,50.5167,115.1333,57.88,46,0,6.69,clear sky
145,Butaritari,KI,3.0707,172.7902,82.38,70,38,5.84,scattered clouds
146,Dikson,RU,73.5069,80.5464,29.98,98,99,11.05,light snow
147,Alice Springs,AU,-23.7,133.8833,36.95,81,0,4.85,clear sky
148,Bambous Virieux,MU,-20.3428,57.7575,71.22,94,20,5.35,few clouds
149,Kloulklubed,PW,7.0419,134.2556,81.28,78,100,3.24,overcast clouds
150,Minusinsk,RU,53.7103,91.6875,44.62,91,100,12.41,overcast clouds
151,Guiratinga,BR,-16.3494,-53.7583,77.95,39,90,2.1,overcast clouds
152,Balakhta,RU,55.38,91.6,41.27,90,98,6.35,overcast clouds
153,Dwarka,IN,22.2394,68.9678,84.09,74,2,11.81,clear sky
154,Palma Del Rio,ES,37.7002,-5.2812,74.79,88,22,6.02,few clouds
155,Aloleng,PH,16.1307,119.7824,81.52,82,100,9.46,light rain
156,Sangar,RU,63.9242,127.4739,49.86,70,100,12.08,overcast clouds
157,Alvorada,BR,-12.48,-49.1247,86.5,38,100,8.12,overcast clouds
158,Cairns,AU,-16.9167,145.7667,65.07,90,100,8.05,overcast clouds
